,market,arrival_date,arrivals_tonnes,variety,minimum_price,maximum_price,modal_price
1220,Hospet,18/04/2016,12.0,Tomato,500,700,600
1221,Hospet,20/04/2016,9.0,Tomato,500,1200,700
1222,Hospet,25/04/2016,13.0,Tomato,500,800,600
1223,Hospet,27/04/2016,9.0,Tomato,600,1400,1200
1224,K.R.Nagar,4/4/2016,2.0,Tomato,500,500,500
1225,K.R.Nagar,7/4/2016,2.0,Tomato,500,500,500
1226,K.R.Nagar,12/4/2016,2.0,Tomato,500,500,500
1227,K.R.Nagar,13/04/2016,8.0,Tomato,500,666,625
1228,K.R.Nagar,21/04/2016,2.0,Tomato,500,500,500
1229,K.R.Nagar,25/04/2016,1.0,Tomato,1000,1000,1000
1230,K.R.Nagar,27/04/2016,1.0,Tomato,1000,1000,1000
1231,Kanakapura,6/4/2016,1.0,Tomato,500,900,800
1232,Kanakapura,7/4/2016,1.0,Tomato,500,900,800
1233,Kolar,1/4/2016,110.0,Tomato,267,567,367
1234,Kolar,2/4/2016,162.0,Tomato,300,667,500
1235,Kolar,3/4/2016,106.0,Tomato,280,734,534
1241,Kolar,9/4/2016,65.0,Tomato,300,1000,667
1243,Kolar,11/4/2016,103.0,Tomato,500,1200,667
1249,Kolar,17/04/2016,90.0,Tomato,334,1600,1134
1252,Kolar,21/04/2016,125.0,Tomato,314,1400,967
1253,Kolar,22/04/2016,130.0,Tomato,334,1334,1000
1254,Kolar,23/04/2016,150.0,Tomato,300,1500,1100
1255,Kolar,24/04/2016,118.0,Tomato,334,1867,1134
1256,Kolar,25/04/2016,142.0,Tomato,367,2000,1267
1257,Kolar,26/04/2016,112.0,Tomato,400,2334,1667
1258,Kolar,27/04/2016,163.0,Tomato,467,2000,1734
1259,Kolar,28/04/2016,117.0,Tomato,400,1800,1534
1260,Kolar,29/04/2016,123.0,Tomato,434,2000,1234
1261,Kolar,30/04/2016,136.0,Tomato,533,2133,1333
1262,Malur,5/4/2016,2.0,Tomato,400,1100,1000
1263,Malur,18/04/2016,4.0,Tomato,400,800,500
1265,Mulabagilu,1/4/2016,72.0,Tomato,200,400,300
1266,Mulabagilu,2/4/2016,113.0,Tomato,200,335,265
1267,Mulabagilu,3/4/2016,155.0,Tomato,200,400,300
1268,Mulabagilu,4/4/2016,97.0,Tomato,265,600,435
1269,Mulabagilu,5/4/2016,65.0,Tomato,335,1000,665
1270,Mulabagilu,6/4/2016,72.0,Tomato,300,865,565
1271,Mulabagilu,7/4/2016,133.0,Tomato,200,535,365
1272,Mulabagilu,8/4/2016,63.0,Tomato,335,1065,665
1273,Mulabagilu,9/4/2016,66.0,Tomato,335,1000,635
1274,Mulabagilu,10/4/2016,67.0,Tomato,335,1135,735
1275,Mulabagilu,11/4/2016,56.0,Tomato,335,1200,765
1276,Mulabagilu,12/4/2016,68.0,Tomato,335,1000,665
1277,Mulabagilu,13/04/2016,71.0,Tomato,335,1065,700
1278,Mulabagilu,14/04/2016,86.0,Tomato,335,865,600
1279,Mulabagilu,15/04/2016,75.0,Tomato,335,1000,665
1280,Mulabagilu,16/04/2016,63.0,Tomato,325,1200,735
1281,Mulabagilu,17/04/2016,48.0,Tomato,400,1135,765
1282,Mulabagilu,18/04/2016,59.0,Tomato,500,1665,865
1283,Mulabagilu,21/04/2016,47.0,Tomato,465,1400,935
1284,Mulabagilu,22/04/2016,48.0,Tomato,535,1735,1135
1285,Mulabagilu,23/04/2016,47.0,Tomato,665,1665,1165
1286,Mulabagilu,24/04/2016,30.0,Tomato,665,1800,1200
1287,Mulabagilu,25/04/2016,40.0,Tomato,665,1665,1165
1288,Mulabagilu,26/04/2016,28.0,Tomato,665,2135,1400
1289,Mulabagilu,27/04/2016,29.0,Tomato,665,2200,1435
1290,Mulabagilu,28/04/2016,27.0,Tomato,665,2335,1465
1291,Mulabagilu,29/04/2016,18.0,Tomato,1000,2665,1835
1292,Mulabagilu,30/04/2016,16.0,Tomato,1000,2735,1865
1314,Nagamangala,2/4/2016,7.0,Tomato,300,400,400
1315,Nagamangala,3/4/2016,5.0,Tomato,500,500,500
1316,Nagamangala,6/4/2016,13.0,Tomato,500,500,500
1317,Nagamangala,7/4/2016,4.0,Tomato,500,500,500
1318,Nagamangala,13/04/2016,3.0,Tomato,500,500,500
1319,Nagamangala,25/04/2016,1.0,Tomato,1000,1000,1000
1320,Ramanagara,1/4/2016,15.0,Tomato,400,600,500
1321,Ramanagara,2/4/2016,9.0,Tomato,300,500,400
1322,Ramanagara,4/4/2016,6.0,Tomato,600,800,700
1323,Ramanagara,5/4/2016,7.0,Tomato,900,1100,1000
1324,Ramanagara,6/4/2016,12.0,Tomato,900,1100,1000
1325,Ramanagara,7/4/2016,13.0,Tomato,900,1300,1100
1326,Ramanagara,11/4/2016,11.0,Tomato,800,1000,900
1327,Ramanagara,12/4/2016,11.0,Tomato,400,600,500
1328,Ramanagara,13/04/2016,6.0,Tomato,600,800,700
1329,Ramanagara,15/04/2016,7.0,Tomato,1100,1500,1300
1330,Ramanagara,16/04/2016,6.0,Tomato,1100,1500,1300
1331,Ramanagara,18/04/2016,7.0,Tomato,1000,1400,1200
1332,Ramanagara,20/04/2016,6.0,Tomato,1200,1600,1400
1333,Ramanagara,21/04/2016,8.0,Tomato,1200,1600,1400
1334,Ramanagara,22/04/2016,7.0,Tomato,1300,1700,1500
1335,Ramanagara,23/04/2016,5.0,Tomato,1400,1800,1600
1336,Ramanagara,25/04/2016,6.0,Tomato,1500,1900,1700
1337,Ramanagara,26/04/2016,6.0,Tomato,1600,2000,1800
1338,Ramanagara,27/04/2016,5.0,Tomato,2000,2400,2200
1339,Ramanagara,28/04/2016,5.0,Tomato,2000,2400,2200
1342,Shimoga,1/4/2016,6.0,Tomato,300,500,400
1343,Shimoga,4/4/2016,7.0,Tomato,300,500,400
1344,Shimoga,5/4/2016,6.0,Tomato,400,600,500
1345,Shimoga,6/4/2016,7.0,Tomato,600,800,700
1346,Shimoga,7/4/2016,6.0,Tomato,600,800,700
1347,Shimoga,11/4/2016,9.0,Tomato,800,1000,900
1348,Shimoga,12/4/2016,8.0,Tomato,600,800,700
1349,Shimoga,13/04/2016,6.0,Tomato,800,1000,900
1350,Shimoga,15/04/2016,6.0,Tomato,1000,1200,1100
1351,Shimoga,18/04/2016,6.0,Tomato,1000,1200,1100
1352,Shimoga,21/04/2016,6.0,Tomato,600,800,700
1353,Shimoga,22/04/2016,6.0,Tomato,1000,1200,1100
1354,Shimoga,25/04/2016,6.0,Tomato,1000,1200,1100
1355,Shimoga,26/04/2016,6.0,Tomato,1000,1200,1100
1356,Shimoga,27/04/2016,6.0,Tomato,1300,1500,1400
1357,Shimoga,28/04/2016,7.0,Tomato,1300,1500,1400
1358,Shimoga,29/04/2016,7.0,Tomato,2000,2200,2100
1359,Srinivasapur,1/4/2016,54.0,Tomato,170,400,300
1360,Srinivasapur,2/4/2016,68.0,Tomato,200,400,300
1361,Srinivasapur,3/4/2016,91.0,Tomato,140,470,340
1362,Srinivasapur,4/4/2016,101.0,Tomato,340,1270,800
1363,Srinivasapur,5/4/2016,103.0,Tomato,140,1000,740
1364,Srinivasapur,6/4/2016,77.0,Tomato,270,1270,800
1365,Srinivasapur,7/4/2016,117.0,Tomato,170,740,470
1366,Srinivasapur,8/4/2016,150.0,Tomato,400,1270,800
1367,Srinivasapur,9/4/2016,83.0,Tomato,200,1070,670
1368,Srinivasapur,10/4/2016,97.0,Tomato,340,1030,700
1369,Srinivasapur,11/4/2016,106.0,Tomato,340,1140,740
1370,Srinivasapur,12/4/2016,140.0,Tomato,340,1070,670
1371,Srinivasapur,13/04/2016,140.0,Tomato,170,970,600
1372,Srinivasapur,14/04/2016,142.0,Tomato,270,1140,670
1373,Srinivasapur,15/04/2016,100.0,Tomato,200,1000,600
1374,Srinivasapur,16/04/2016,55.0,Tomato,200,1200,700
1375,Srinivasapur,17/04/2016,92.0,Tomato,340,1240,800
1376,Srinivasapur,18/04/2016,137.0,Tomato,340,1470,940
1377,Srinivasapur,21/04/2016,80.0,Tomato,340,1400,870
1378,Srinivasapur,22/04/2016,55.0,Tomato,400,1535,965
1379,Srinivasapur,23/04/2016,47.0,Tomato,335,1670,1000
1380,Srinivasapur,24/04/2016,49.0,Tomato,340,1600,965
1381,Srinivasapur,25/04/2016,50.0,Tomato,400,1600,1000
1382,Srinivasapur,26/04/2016,85.0,Tomato,340,2000,1170
1383,Srinivasapur,27/04/2016,31.0,Tomato,670,2270,1470
1384,Srinivasapur,28/04/2016,63.0,Tomato,800,2340,1600
1385,Srinivasapur,29/04/2016,36.0,Tomato,670,2570,1620
1386,Srinivasapur,30/04/2016,36.0,Tomato,670,2535,1600
1387,Udupi,6/4/2016,6.0,Tomato,1200,1400,1300
1388,Udupi,13/04/2016,6.0,Tomato,1000,1200,1100
1389,Udupi,20/04/2016,7.0,Tomato,1800,2000,1900
1391,Bagepalli,2/5/2016,5.0,Tomato,550,850,720
1392,Bagepalli,4/5/2016,3.0,Tomato,520,850,720
1393,Bagepalli,5/5/2016,5.0,Tomato,550,850,680
1394,Bagepalli,7/5/2016,3.0,Tomato,560,1000,820
1395,Bagepalli,10/5/2016,3.0,Tomato,650,1000,860
1396,Bagepalli,11/5/2016,3.0,Tomato,550,900,780
1397,Bagepalli,13/05/2016,3.0,Tomato,600,1000,850
1398,Bagepalli,16/05/2016,3.0,Tomato,600,1000,860
1399,Bagepalli,17/05/2016,3.0,Tomato,600,1000,900
1400,Bagepalli,18/05/2016,3.0,Tomato,580,1010,880
1401,Bagepalli,19/05/2016,3.0,Tomato,550,950,810
1402,Bagepalli,21/05/2016,2.0,Tomato,1000,1800,1600
1404,Bagepalli,24/05/2016,2.0,Tomato,1800,3500,3000
1405,Bagepalli,25/05/2016,3.0,Tomato,1800,3100,2800
1410,"Binny Mill (F&V), Bangalore",2/5/2016,48.0,Tomato,1600,2000,1800
1449,Channapatana,21/05/2016,1.0,Tomato,400,550,475
1458,Chickkaballapura,1/5/2016,18.0,Tomato,500,2700,1600
1459,Chickkaballapura,2/5/2016,29.0,Tomato,500,2700,1500
1460,Chickkaballapura,3/5/2016,35.0,Tomato,500,3000,2000
1461,Chickkaballapura,4/5/2016,39.0,Tomato,500,3000,1900
1462,Chickkaballapura,6/5/2016,41.0,Tomato,500,2900,2000
1463,Chickkaballapura,7/5/2016,37.0,Tomato,500,3000,2500
1464,Chickkaballapura,8/5/2016,38.0,Tomato,500,3200,2000
1465,Chickkaballapura,9/5/2016,34.0,Tomato,500,3300,2200
1466,Chickkaballapura,10/5/2016,38.0,Tomato,400,3300,2400
1467,Chickkaballapura,11/5/2016,36.0,Tomato,500,3200,2200
1468,Chickkaballapura,13/05/2016,31.0,Tomato,500,3400,2500
1469,Chickkaballapura,14/05/2016,21.0,Tomato,1000,4200,3500
1470,Chickkaballapura,15/05/2016,22.0,Tomato,1000,4100,3200
1471,Chickkaballapura,16/05/2016,23.0,Tomato,1000,4400,3400
1475,Chickkaballapura,21/05/2016,25.0,Tomato,500,4400,3500
1477,Chickkaballapura,23/05/2016,18.0,Tomato,1000,4300,3000
1478,Chickkaballapura,24/05/2016,21.0,Tomato,500,4000,2800
1479,Chickkaballapura,25/05/2016,21.0,Tomato,500,4200,3000
1480,Chickkaballapura,27/05/2016,20.0,Tomato,1000,4300,3500
1481,Chickkaballapura,28/05/2016,21.0,Tomato,1000,4200,3300
1482,Chickkaballapura,29/05/2016,12.0,Tomato,1000,4000,3000
1483,Chickkaballapura,30/05/2016,19.0,Tomato,1000,4000,3200
1484,Chickkaballapura,31/05/2016,28.0,Tomato,1000,3800,2800
1485,Chikkamagalore,2/5/2016,8.0,Tomato,1800,2500,2000
1486,Chikkamagalore,4/5/2016,8.0,Tomato,1800,2500,2000
1487,Chikkamagalore,5/5/2016,3.0,Tomato,1800,2500,2000
1488,Chikkamagalore,16/05/2016,13.0,Tomato,1800,2500,2000
1491,Chintamani,1/5/2016,45.0,Tomato,1000,2800,2333
1492,Chintamani,2/5/2016,38.0,Tomato,1000,2666,2133
1493,Chintamani,3/5/2016,39.0,Tomato,1000,2533,2000
1494,Chintamani,4/5/2016,45.0,Tomato,1000,2500,2000
1495,Chintamani,5/5/2016,45.0,Tomato,1000,2400,1866
1496,Chintamani,6/5/2016,45.0,Tomato,1400,3000,2200
1497,Chintamani,7/5/2016,35.0,Tomato,1400,3000,2200
1498,Chintamani,8/5/2016,45.0,Tomato,165,480,330
1499,Chintamani,9/5/2016,40.0,Tomato,1400,4200,3000
1500,Chintamani,10/5/2016,43.0,Tomato,1200,3400,2500
1501,Chintamani,11/5/2016,55.0,Tomato,1400,3866,3000
1502,Chintamani,12/5/2016,49.0,Tomato,1500,3533,2730
1503,Chintamani,13/05/2016,51.0,Tomato,1600,3633,3000
1504,Chintamani,14/05/2016,35.0,Tomato,1500,3500,2500
1505,Chintamani,15/05/2016,45.0,Tomato,1500,3500,3000
1506,Chintamani,16/05/2016,44.0,Tomato,2000,4200,3500
1507,Chintamani,17/05/2016,45.0,Tomato,2000,4133,3500
1508,Chintamani,18/05/2016,40.0,Tomato,2000,3800,3400
1509,Chintamani,19/05/2016,43.0,Tomato,2000,4000,3000
1510,Chintamani,20/05/2016,45.0,Tomato,2000,3800,3000
1511,Chintamani,21/05/2016,45.0,Tomato,2000,3800,3000
1512,Chintamani,22/05/2016,35.0,Tomato,2000,4000,3000
1513,Chintamani,23/05/2016,38.0,Tomato,2000,4000,3000
1516,Chintamani,26/05/2016,48.0,Tomato,2000,4000,3400
1517,Chintamani,27/05/2016,45.0,Tomato,1666,3533,2666
1518,Chintamani,29/05/2016,49.0,Tomato,1333,3000,2533
1521,Davangere,4/5/2016,6.0,Tomato,1200,1400,1300
1523,Davangere,6/5/2016,5.0,Tomato,1200,1600,1400
1524,Davangere,7/5/2016,4.0,Tomato,1600,2000,1800
1525,Davangere,10/5/2016,5.0,Tomato,1400,1800,1600
1526,Davangere,11/5/2016,6.0,Tomato,1400,1800,1600
1527,Davangere,12/5/2016,3.0,Tomato,1400,1800,1600
1528,Davangere,13/05/2016,4.0,Tomato,1400,1800,1600
1529,Davangere,17/05/2016,4.0,Tomato,1600,2000,1800
1530,Davangere,18/05/2016,5.0,Tomato,1600,2000,1800
1531,Davangere,19/05/2016,4.0,Tomato,1600,2000,1800
1533,Davangere,21/05/2016,3.0,Tomato,1600,2000,1800
1540,Doddaballa Pur,2/5/2016,2.0,Tomato,1000,1600,1300
1541,Doddaballa Pur,4/5/2016,2.0,Tomato,1000,1600,1300
1542,Doddaballa Pur,5/5/2016,2.0,Tomato,1000,1600,1300
1543,Doddaballa Pur,6/5/2016,1.0,Tomato,1000,1600,1400
1544,Doddaballa Pur,7/5/2016,2.0,Tomato,1000,1600,1400
1545,Doddaballa Pur,10/5/2016,2.0,Tomato,2000,2600,2300
1546,Doddaballa Pur,11/5/2016,1.0,Tomato,2000,2600,2300
1547,Doddaballa Pur,12/5/2016,2.0,Tomato,2000,2600,2300
1548,Doddaballa Pur,13/05/2016,1.0,Tomato,2000,2600,2300
1549,Doddaballa Pur,16/05/2016,2.0,Tomato,1500,2000,1800
1550,Doddaballa Pur,17/05/2016,2.0,Tomato,1500,2000,1800
1551,Doddaballa Pur,18/05/2016,2.0,Tomato,1600,2000,1800
1552,Doddaballa Pur,19/05/2016,2.0,Tomato,1500,2000,1800
1553,Doddaballa Pur,20/05/2016,1.0,Tomato,1600,2000,1800
1554,Doddaballa Pur,21/05/2016,2.0,Tomato,1600,2000,1800
1555,Doddaballa Pur,23/05/2016,1.0,Tomato,1600,2000,1800
1563,Gowribidanoor,5/5/2016,8.0,Tomato,600,700,650
1564,Gowribidanoor,20/05/2016,7.0,Tomato,950,1200,1050
1565,Gowribidanoor,26/05/2016,7.0,Tomato,980,1100,1050
1566,Hassan,5/5/2016,10.0,Tomato,952,1538,1000
1567,Hassan,12/5/2016,5.0,Tomato,1000,1510,1440
1568,Hassan,19/05/2016,6.0,Tomato,1579,1700,1700
1569,Hassan,26/05/2016,5.0,Tomato,1036,1052,1052
1570,Hassan,27/05/2016,4.0,Tomato,1000,1000,1000
1571,Hospet,2/5/2016,10.0,Tomato,800,900,800
1572,Hospet,4/5/2016,6.0,Tomato,1000,2000,1200
1573,Hospet,11/5/2016,18.0,Tomato,800,2000,1200
1574,Hospet,17/05/2016,11.0,Tomato,800,1600,1000
1575,Hospet,18/05/2016,8.0,Tomato,900,2000,1200
1576,Hospet,25/05/2016,6.0,Tomato,1200,2300,2000
1577,Hospet,31/05/2016,10.0,Tomato,1000,1800,1500
1578,K.R. Pet,17/05/2016,1.0,Tomato,400,400,400
1579,K.R.Nagar,5/5/2016,1.0,Tomato,1000,1000,1000
1580,K.R.Nagar,6/5/2016,3.0,Tomato,1000,1000,1000
1581,K.R.Nagar,12/5/2016,1.0,Tomato,1000,1000,1000
1582,K.R.Nagar,17/05/2016,3.0,Tomato,1000,1000,1000
1583,K.R.Nagar,18/05/2016,6.0,Tomato,500,500,500
1585,K.R.Nagar,20/05/2016,3.0,Tomato,500,1000,666
1586,K.R.Nagar,21/05/2016,1.0,Tomato,1000,1000,1000
1587,K.R.Nagar,23/05/2016,1.0,Tomato,1000,1000,1000
1588,K.R.Nagar,24/05/2016,2.0,Tomato,1000,1000,1000
1589,K.R.Nagar,25/05/2016,1.0,Tomato,1000,1000,1000
1590,K.R.Nagar,26/05/2016,2.0,Tomato,1000,1000,1000
1591,K.R.Nagar,28/05/2016,1.0,Tomato,1000,1000,1000
1592,K.R.Nagar,30/05/2016,2.0,Tomato,1000,1000,1000
1593,K.R.Nagar,31/05/2016,2.0,Tomato,1000,1000,1000
1594,Kolar,1/5/2016,97.0,Tomato,500,2334,1534
1596,Kolar,4/5/2016,141.0,Tomato,534,2334,1534
1597,Kolar,5/5/2016,74.0,Tomato,500,2667,2134
1598,Kolar,6/5/2016,107.0,Tomato,467,2534,2000
1599,Kolar,7/5/2016,156.0,Tomato,500,2667,2134
1600,Kolar,8/5/2016,84.0,Tomato,534,2667,2200
1601,Kolar,9/5/2016,133.0,Tomato,567,3000,2534
1602,Kolar,10/5/2016,144.0,Tomato,533,2666,2167
1603,Kolar,11/5/2016,95.0,Tomato,500,2534,1934
1604,Kolar,12/5/2016,132.0,Tomato,534,3000,2567
1605,Kolar,13/05/2016,113.0,Tomato,1234,3667,2800
1606,Kolar,14/05/2016,132.0,Tomato,1000,3334,2733
1607,Kolar,15/05/2016,64.0,Tomato,1100,3400,2834
1608,Kolar,17/05/2016,95.0,Tomato,1034,4067,3134
1609,Kolar,18/05/2016,106.0,Tomato,1000,4334,3334
1612,Kolar,21/05/2016,105.0,Tomato,1000,4167,3500
1613,Kolar,22/05/2016,76.0,Tomato,1167,4000,3200
1614,Kolar,23/05/2016,127.0,Tomato,1000,4000,3400
1617,Kolar,26/05/2016,135.0,Tomato,834,3334,2800
1618,Kolar,27/05/2016,77.0,Tomato,667,3334,3000
1620,Kolar,29/05/2016,85.0,Tomato,667,3667,3200
1621,Kolar,30/05/2016,135.0,Tomato,834,4000,3534
1622,Kolar,31/05/2016,113.0,Tomato,800,4000,3400
1623,Malur,6/5/2016,3.0,Tomato,600,1200,1000
1624,Malur,10/5/2016,2.0,Tomato,600,1300,1000
1625,Malur,17/05/2016,4.0,Tomato,600,1800,1000
1626,Malur,18/05/2016,4.0,Tomato,700,1800,1000
1627,Malur,28/05/2016,3.0,Tomato,800,2000,1000
1629,Mulabagilu,1/5/2016,12.0,Tomato,1000,2665,1835
1630,Mulabagilu,2/5/2016,23.0,Tomato,1000,2335,1665
1631,Mulabagilu,4/5/2016,21.0,Tomato,1000,2265,1635
1632,Mulabagilu,5/5/2016,12.0,Tomato,1000,2800,1900
1633,Mulabagilu,6/5/2016,19.0,Tomato,1000,2665,1835
1634,Mulabagilu,7/5/2016,18.0,Tomato,1335,3335,2335
1635,Mulabagilu,8/5/2016,14.0,Tomato,1135,3200,2165
1636,Mulabagilu,9/5/2016,24.0,Tomato,1335,3335,2335
1637,Mulabagilu,10/5/2016,15.0,Tomato,1200,3400,2265
1638,Mulabagilu,11/5/2016,13.0,Tomato,1200,3465,2335
1639,Mulabagilu,12/5/2016,14.0,Tomato,1335,3665,2500
1640,Mulabagilu,13/05/2016,15.0,Tomato,1335,3535,2435
1641,Mulabagilu,14/05/2016,10.0,Tomato,1335,3665,2500
1642,Mulabagilu,15/05/2016,8.0,Tomato,1335,4000,2665
1643,Mulabagilu,16/05/2016,6.0,Tomato,1335,4135,2735
1644,Mulabagilu,17/05/2016,16.0,Tomato,1335,4000,2665
1645,Mulabagilu,18/05/2016,12.0,Tomato,1335,3665,2500
1646,Mulabagilu,19/05/2016,12.0,Tomato,1335,3335,2335
1647,Mulabagilu,20/05/2016,14.0,Tomato,1400,4000,2700
1648,Mulabagilu,21/05/2016,13.0,Tomato,1335,3665,2500
1649,Mulabagilu,22/05/2016,10.0,Tomato,1665,4000,2835
1652,Mulabagilu,25/05/2016,12.0,Tomato,1335,4000,2665
1653,Mulabagilu,26/05/2016,14.0,Tomato,1000,3335,2165
1654,Mulabagilu,27/05/2016,9.0,Tomato,1335,4000,2665
1655,Mulabagilu,28/05/2016,14.0,Tomato,1335,3665,2500
1656,Mulabagilu,29/05/2016,11.0,Tomato,1335,3535,2435
1657,Mulabagilu,30/05/2016,15.0,Tomato,1000,3000,2000
1658,Mulabagilu,31/05/2016,14.0,Tomato,1000,3335,2165
1682,Nagamangala,11/5/2016,1.0,Tomato,1000,1000,1000
1683,Ramanagara,2/5/2016,4.0,Tomato,2000,2500,2250
1707,Shimoga,2/5/2016,8.0,Tomato,2000,2200,2100
1727,Srinivasapur,1/5/2016,29.0,Tomato,670,2470,1570
1728,Srinivasapur,2/5/2016,24.0,Tomato,670,2540,1600
1729,Srinivasapur,4/5/2016,23.0,Tomato,500,2400,1450
1730,Srinivasapur,5/5/2016,34.0,Tomato,535,2400,1465
1731,Srinivasapur,6/5/2016,29.0,Tomato,670,2670,1670
1732,Srinivasapur,7/5/2016,31.0,Tomato,800,3000,1900
1733,Srinivasapur,8/5/2016,34.0,Tomato,800,2800,1800
1734,Srinivasapur,9/5/2016,27.0,Tomato,800,2870,1835
1735,Srinivasapur,10/5/2016,23.0,Tomato,1000,3070,2035
1736,Srinivasapur,11/5/2016,24.0,Tomato,900,3200,2050
1737,Srinivasapur,12/5/2016,25.0,Tomato,1000,3270,2135
1738,Srinivasapur,13/05/2016,23.0,Tomato,900,3300,2100
1739,Srinivasapur,14/05/2016,21.0,Tomato,1000,3500,2250
1740,Srinivasapur,15/05/2016,18.0,Tomato,865,3535,2200
1741,Srinivasapur,16/05/2016,15.0,Tomato,1000,4200,2600
1742,Srinivasapur,17/05/2016,19.0,Tomato,1000,4135,2565
1743,Srinivasapur,18/05/2016,16.0,Tomato,1000,3600,2300
1744,Srinivasapur,19/05/2016,20.0,Tomato,670,3535,2100
1745,Srinivasapur,20/05/2016,16.0,Tomato,800,3600,2200
1746,Srinivasapur,21/05/2016,16.0,Tomato,665,3665,2165
1747,Srinivasapur,22/05/2016,12.0,Tomato,800,3735,2270
1748,Srinivasapur,23/05/2016,14.0,Tomato,1000,4000,2500
1749,Srinivasapur,24/05/2016,20.0,Tomato,1000,4135,2565
1750,Srinivasapur,25/05/2016,19.0,Tomato,1000,4000,2500
1751,Srinivasapur,26/05/2016,19.0,Tomato,1000,3665,2335
1752,Srinivasapur,27/05/2016,20.0,Tomato,800,3535,2170
1753,Srinivasapur,28/05/2016,18.0,Tomato,800,3335,2065
1754,Srinivasapur,29/05/2016,20.0,Tomato,1000,3335,2165
1755,Srinivasapur,30/05/2016,19.0,Tomato,800,3000,1900
1756,Srinivasapur,31/05/2016,16.0,Tomato,800,3200,2000
1772,Bagepalli,16/06/2016,3.0,Tomato,22,3800,3200
1776,Bagepalli,22/06/2016,2.0,Tomato,1800,2600,2450
1780,Bagepalli,28/06/2016,4.0,Tomato,1800,2900,2400
1781,Bagepalli,29/06/2016,4.0,Tomato,1800,3000,2600
1782,Bagepalli,30/06/2016,4.0,Tomato,1800,2800,2600
1823,Channapatana,24/06/2016,1.0,Tomato,2000,3000,2500
1824,Channapatana,25/06/2016,1.0,Tomato,2000,2500,2250
1825,Channapatana,27/06/2016,1.0,Tomato,1600,2600,2100
1826,Channapatana,28/06/2016,1.0,Tomato,1800,2200,2000
1827,Channapatana,29/06/2016,1.0,Tomato,2000,2600,2300
1829,Chickkaballapura,1/6/2016,35.0,Tomato,500,3850,2900
1830,Chickkaballapura,3/6/2016,23.0,Tomato,1000,4000,3000
1831,Chickkaballapura,4/6/2016,23.0,Tomato,1000,4200,3300
1842,Chickkaballapura,17/06/2016,52.0,Tomato,1000,4230,3000
1844,Chickkaballapura,20/06/2016,36.0,Tomato,1000,4000,2800
1845,Chickkaballapura,21/06/2016,79.0,Tomato,1000,3700,2900
1846,Chickkaballapura,22/06/2016,74.0,Tomato,1000,3700,2600
1847,Chickkaballapura,24/06/2016,66.0,Tomato,1000,3800,2700
1852,Chickkaballapura,29/06/2016,71.0,Tomato,1000,4200,3400
1869,Chintamani,1/6/2016,55.0,Tomato,2000,3866,3000
1872,Chintamani,4/6/2016,45.0,Tomato,2000,3800,3000
1888,Chintamani,20/06/2016,85.0,Tomato,2000,3700,3000
1889,Chintamani,22/06/2016,115.0,Tomato,1500,4300,3100
1890,Chintamani,23/06/2016,165.0,Tomato,1400,4000,3000
1892,Chintamani,25/06/2016,150.0,Tomato,1500,4200,3000
1911,Davangere,22/06/2016,3.0,Tomato,1000,1600,1300
1912,Davangere,23/06/2016,4.0,Tomato,1000,1600,1300
1914,Davangere,25/06/2016,3.0,Tomato,2000,2400,2200
1915,Davangere,28/06/2016,3.0,Tomato,2000,2450,2200
1916,Davangere,29/06/2016,4.0,Tomato,800,1000,900
1917,Davangere,30/06/2016,5.0,Tomato,800,1000,900
1932,Doddaballa Pur,18/06/2016,2.0,Tomato,2000,3000,2500
1933,Doddaballa Pur,20/06/2016,2.0,Tomato,2000,3000,2500
1934,Doddaballa Pur,21/06/2016,2.0,Tomato,2000,3000,2500
1935,Doddaballa Pur,22/06/2016,2.0,Tomato,2000,3000,2500
1936,Doddaballa Pur,23/06/2016,2.0,Tomato,2000,2800,2400
1937,Doddaballa Pur,25/06/2016,2.0,Tomato,2000,3000,2500
1938,Doddaballa Pur,27/06/2016,2.0,Tomato,2000,3000,2500
1939,Doddaballa Pur,28/06/2016,2.0,Tomato,2000,3000,2500
1940,Doddaballa Pur,29/06/2016,2.0,Tomato,2000,3000,2500
1941,Doddaballa Pur,30/06/2016,1.0,Tomato,2000,3000,2500
1942,Gowribidanoor,9/6/2016,7.0,Tomato,700,900,800
1943,Gowribidanoor,16/06/2016,7.0,Tomato,900,1000,950
1944,Gowribidanoor,23/06/2016,7.0,Tomato,700,900,800
1945,Gundlupet,28/06/2016,3.0,Tomato,1200,1200,1200
1946,Gundlupet,30/06/2016,3.0,Tomato,2000,2000,2000
1947,Hassan,2/6/2016,6.0,Tomato,1000,1500,1000
1948,Hassan,9/6/2016,6.0,Tomato,1565,2000,2000
1949,Hassan,10/6/2016,3.0,Tomato,1000,1000,1000
1953,Hassan,25/06/2016,4.0,Tomato,1000,1035,1035
1955,Hospet,1/6/2016,7.0,Tomato,1000,2200,1500
1956,Hospet,6/6/2016,9.0,Tomato,1200,1500,1400
1957,Hospet,8/6/2016,9.0,Tomato,1000,2500,1500
1958,Hospet,13/06/2016,6.0,Tomato,1200,1500,1400
1959,Hospet,14/06/2016,4.0,Tomato,1500,2500,2000
1960,Hospet,15/06/2016,5.0,Tomato,1100,3000,1500
1961,Hospet,20/06/2016,7.0,Tomato,1200,2000,1500
1962,Hospet,22/06/2016,7.0,Tomato,1000,2800,2000
